Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Product_Supermarket_Sales
FDE16,CHUKWUDI017,FDE16_CHUKWUDI017,8.895,Low Fat,0.026492726,Frozen Foods,521.24,2014,,Cluster 2,Supermarket Type1,15629.66
NCV53,CHUKWUDI017,NCV53_CHUKWUDI017,8.27,Low Fat,0.018920019,Health and Hygiene,595.22,2014,,Cluster 2,Supermarket Type1,15579.72
NCH42,CHUKWUDI017,NCH42_CHUKWUDI017,6.86,Low Fat,0.03674399,Household,578,2014,,Cluster 2,Supermarket Type1,15504.82
NCQ53,CHUKWUDI045,NCQ53_CHUKWUDI045,17.6,Low Fat,0.018943666,Health and Hygiene,593.4,2009,,Cluster 2,Supermarket Type1,15363.34
DRM47,CHUKWUDI035,DRM47_CHUKWUDI035,9.3,Low Fat,0.043777415,Hard Drinks,482.46,2011,Small,Cluster 2,Supermarket Type1,15286.77
FDP25,CHUKWUDI035,FDP25_CHUKWUDI035,15.2,Low Fat,0.021203509,Canned,540.96,2011,Small,Cluster 2,Supermarket Type1,15286.77
NCZ18,CHUKWUDI035,NCZ18_CHUKWUDI035,7.825,Low Fat,0.186032678,Household,632.67,2011,Small,Cluster 2,Supermarket Type1,15220.19
FDX31,CHUKWUDI017,FDX31_CHUKWUDI017,20.35,Normal Fat,0.014909465,Fruits and Vegetables,580.99,2014,,Cluster 2,Supermarket Type1,15190.23
NCJ54,CHUKWUDI045,NCJ54_CHUKWUDI045,9.895,Low Fat,0.060188932,Household,582.66,2009,,Cluster 2,Supermarket Type1,15103.67
FDN45,CHUKWUDI035,FDN45_CHUKWUDI035,19.35,Low Fat,0.118080437,Snack Foods,556.52,2011,Small,Cluster 2,Supermarket Type1,15100.34
FDH05,CHUKWUDI035,FDH05_CHUKWUDI035,14.35,Normal Fat,0.090896452,Frozen Foods,578.25,2011,Small,Cluster 2,Supermarket Type1,15060.4
FDN51,CHUKWUDI017,FDN51_CHUKWUDI017,17.85,Normal Fat,0.021065311,Meat,653.98,2014,,Cluster 2,Supermarket Type1,15007.13
FDG21,CHUKWUDI045,FDG21_CHUKWUDI045,17.35,Normal Fat,0,Seafood,375.51,2009,,Cluster 2,Supermarket Type1,14980.5
FDA15,CHUKWUDI017,FDA15_CHUKWUDI017,9.3,Ultra Low fat,0.016113019,Dairy,622.02,2014,,Cluster 2,Supermarket Type1,14940.55
FDA15,CHUKWUDI045,FDA15_CHUKWUDI045,9.3,Low Fat,0.016054884,Dairy,625.52,2009,,Cluster 2,Supermarket Type1,14940.55
FDT21,CHUKWUDI045,FDT21_CHUKWUDI045,7.42,Low Fat,0.0204332,Snack Foods,622.27,2009,,Cluster 2,Supermarket Type1,14940.55
FDQ52,CHUKWUDI035,FDQ52_CHUKWUDI035,17,Low Fat,0.119362409,Frozen Foods,623.61,2011,Small,Cluster 2,Supermarket Type1,14900.6
FDL39,CHUKWUDI017,FDL39_CHUKWUDI017,16.1,Normal Fat,0.063689583,Dairy,454.83,2014,,Cluster 2,Supermarket Type1,14885.62
FDG45,CHUKWUDI017,FDG45_CHUKWUDI017,8.1,Low Fat,0.128760294,Fruits and Vegetables,534.48,2014,,Cluster 2,Supermarket Type1,14867.31
FDC47,CHUKWUDI035,FDC47_CHUKWUDI035,15,Low Fat,0.118868155,Snack Foods,573.67,2011,Small,Cluster 2,Supermarket Type1,14844.01
DRG13,CHUKWUDI035,DRG13_CHUKWUDI035,17.25,Low Fat,0.03717912,Soft Drinks,406.38,2011,Small,Cluster 2,Supermarket Type1,14800.73
FDI20,CHUKWUDI045,FDI20_CHUKWUDI045,19.1,Low Fat,0.038641968,Fruits and Vegetables,530.4,2009,,Cluster 2,Supermarket Type1,14774.1
FDP16,CHUKWUDI017,FDP16_CHUKWUDI017,18.6,Low Fat,0.039517121,Frozen Foods,609.2,2014,,Cluster 2,Supermarket Type1,14740.81
NCQ54,CHUKWUDI035,NCQ54_CHUKWUDI035,17.7,Low Fat,0.012540003,Household,417.62,2011,Small,Cluster 2,Supermarket Type1,14739.15
DRM35,CHUKWUDI045,DRM35_CHUKWUDI045,9.695,Ultra Low fat,0.070587419,Hard Drinks,442.34,2009,,Cluster 2,Supermarket Type1,14720.84
FDT37,CHUKWUDI045,FDT37_CHUKWUDI045,14.15,Low Fat,0,Canned,634.25,2009,,Cluster 2,Supermarket Type1,14662.58
NCQ06,CHUKWUDI045,NCQ06_CHUKWUDI045,13,Low Fat,0.041909345,Household,637.5,2009,,Cluster 2,Supermarket Type1,14662.58
FDZ38,CHUKWUDI017,FDZ38_CHUKWUDI017,17.6,Low Fat,0.008046275,Dairy,434.36,2014,,Cluster 2,Supermarket Type1,14657.59
FDZ20,CHUKWUDI035,FDZ20_CHUKWUDI035,16.1,Low Fat,0.034300475,Fruits and Vegetables,633.09,2011,Small,Cluster 2,Supermarket Type1,14624.3
FDD29,CHUKWUDI017,FDD29_CHUKWUDI017,12.15,Low Fat,0.018514652,Frozen Foods,631.92,2014,,Cluster 2,Supermarket Type1,14586.01
FDD29,CHUKWUDI035,FDD29_CHUKWUDI035,12.15,Low Fat,0.018407033,Frozen Foods,636.92,2011,Small,Cluster 2,Supermarket Type1,14586.01
FDK51,CHUKWUDI017,FDK51_CHUKWUDI017,19.85,Low Fat,0.005264755,Dairy,661.47,2014,,Cluster 2,Supermarket Type1,14574.36
FDS11,CHUKWUDI035,FDS11_CHUKWUDI035,7.05,Normal Fat,0.055548003,Breads,563.27,2011,Small,Cluster 2,Supermarket Type1,14541.07
NCQ50,CHUKWUDI017,NCQ50_CHUKWUDI017,18.75,Low Fat,0.034501405,Household,529.3,2014,,Cluster 2,Supermarket Type1,14426.22
FDI34,CHUKWUDI045,FDI34_CHUKWUDI045,10.65,Normal Fat,0.085308611,Snack Foods,575.67,2009,,Cluster 2,Supermarket Type1,14397.93
FDK33,CHUKWUDI035,FDK33_CHUKWUDI035,17.85,Low Fat,0.011233126,Snack Foods,528.89,2011,Small,Cluster 2,Supermarket Type1,14381.28
FDY33,CHUKWUDI017,FDY33_CHUKWUDI017,14.5,Normal Fat,0.097750937,Snack Foods,399.32,2014,,Cluster 2,Supermarket Type1,14321.36
FDA34,CHUKWUDI017,FDA34_CHUKWUDI017,11.5,Low Fat,0.014944614,Starchy Foods,429.52,2014,,Cluster 2,Supermarket Type1,14281.41
FDL24,CHUKWUDI045,FDL24_CHUKWUDI045,10.3,Normal Fat,0.02494708,Baking Goods,430.86,2009,,Cluster 2,Supermarket Type1,14226.48
FDS01,CHUKWUDI017,FDS01_CHUKWUDI017,11.6,Low Fat,0.017845372,Canned,447.67,2014,,Cluster 2,Supermarket Type1,14221.49
FDF04,CHUKWUDI045,FDF04_CHUKWUDI045,17.5,Low Fat,0.013664703,Frozen Foods,644.33,2009,,Cluster 2,Supermarket Type1,14208.17
FDJ48,CHUKWUDI045,FDJ48_CHUKWUDI045,11.3,Low Fat,0,Baking Goods,613.03,2009,,Cluster 2,Supermarket Type1,14203.18
FDM21,CHUKWUDI017,FDM21_CHUKWUDI017,20.2,Low Fat,0.064728148,Snack Foods,645.16,2014,,Cluster 2,Supermarket Type1,14171.55
DRC27,CHUKWUDI035,DRC27_CHUKWUDI035,13.8,Low Fat,0.058091482,Dairy,612.95,2011,Small,Cluster 2,Supermarket Type1,14126.61
FDB23,CHUKWUDI045,FDB23_CHUKWUDI045,19.2,Normal Fat,0,Starchy Foods,559.52,2009,,Cluster 2,Supermarket Type1,14106.64
NCL42,CHUKWUDI017,NCL42_CHUKWUDI017,18.85,Low Fat,0.040599963,Household,610.04,2014,,Cluster 2,Supermarket Type1,14088.33
FDJ55,CHUKWUDI035,FDJ55_CHUKWUDI035,12.8,Normal Fat,0.023526504,Meat,558.85,2011,Small,Cluster 2,Supermarket Type1,14065.03
FDI41,CHUKWUDI035,FDI41_CHUKWUDI035,18.5,Normal Fat,0.062245149,Frozen Foods,364.6,2011,Small,Cluster 2,Supermarket Type1,13978.47
FDB57,CHUKWUDI035,FDB57_CHUKWUDI035,20.25,Normal Fat,0.018801549,Fruits and Vegetables,555.44,2011,Small,Cluster 2,Supermarket Type1,13898.58
NCC54,CHUKWUDI035,NCC54_CHUKWUDI035,17.75,Low Fat,0.097692448,Health and Hygiene,606.05,2011,Small,Cluster 2,Supermarket Type1,13858.63
FDS44,CHUKWUDI017,FDS44_CHUKWUDI017,12.65,Normal Fat,0.156926608,Fruits and Vegetables,595.88,2014,,Cluster 2,Supermarket Type1,13820.34
FDT55,CHUKWUDI017,FDT55_CHUKWUDI017,13.6,Normal Fat,0.043902087,Fruits and Vegetables,392.74,2014,,Cluster 2,Supermarket Type1,13807.03
NCO18,CHUKWUDI035,NCO18_CHUKWUDI035,13.15,Low Fat,0.024646608,Household,443.67,2011,Small,Cluster 2,Supermarket Type1,13777.07
FDI50,CHUKWUDI035,FDI50_CHUKWUDI035,8.42,Normal Fat,0,Canned,572.59,2011,Small,Cluster 2,Supermarket Type1,13742.11
FDR59,CHUKWUDI045,FDR59_CHUKWUDI045,14.5,Normal Fat,0.063993068,Breads,651.15,2009,,Cluster 2,Supermarket Type1,13737.12
FDR32,CHUKWUDI045,FDR32_CHUKWUDI045,6.78,Normal Fat,0.085981978,Fruits and Vegetables,571.17,2009,,Cluster 2,Supermarket Type1,13702.16
